"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Burdescu D.D.; Mihǎ M.C.; Ionascu C.M.; Logofǎtu B.","Burdescu, Dumitru Dan (55776543600); Mihǎ, Marian Cristian (36559884200); Ionascu, Costel Marian (33067730100); Logofǎtu, Bogdan (6508111854)","55776543600; 36559884200; 33067730100; 6508111854","Support system for e-Learning environment based on learning activities and processes","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507361","37","42","5","3","10.1109/rcis.2010.5507361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957316950&doi=10.1109%2frcis.2010.5507361&partnerID=40&md5=033e6bb81c58395c73a2ca735e9db181","Conference paper","Final","","Scopus","2-s2.0-77957316950"
"Li T.; Wang M.; Li T.","Li, Tianyi (55777242600); Wang, Minghui (57193745331); Li, Tianjian (57305090900)","55777242600; 57193745331; 57305090900","Estimating noise parameter based on the wavelet coefficients estimation of original image","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","1","","5493116","126","129","3","16","10.1109/CESCE.2010.247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954917290&doi=10.1109%2fCESCE.2010.247&partnerID=40&md5=9300aa22054bf8ca3f2d1b0b641ded2f","Conference paper","Final","","Scopus","2-s2.0-77954917290"
"Darwiche M.; Feuilloy M.; Bousaleh G.; Schang D.","Darwiche, Mohamad (36559039000); Feuilloy, Mathieu (17434091100); Bousaleh, Ghazi (35168608000); Schang, Daniel (56410842800)","36559039000; 17434091100; 35168608000; 56410842800","Prediction of blood transfusion donation","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507363","51","56","5","16","10.1109/rcis.2010.5507363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957301912&doi=10.1109%2frcis.2010.5507363&partnerID=40&md5=bd57d50b9a30bd9ba8fae089b4d50525","Conference paper","Final","","Scopus","2-s2.0-77957301912"
"Yang J.; Ding J.; Li N.; Guo Y.","Yang, Jun (57192451819); Ding, Jun (57196527817); Li, Na (56794939900); Guo, Yixiong (35995700100)","57192451819; 57196527817; 56794939900; 35995700100","FPGA-based design and implementation of reduced AES algorithm","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493227","67","70","3","9","10.1109/CESCE.2010.123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954931454&doi=10.1109%2fCESCE.2010.123&partnerID=40&md5=501b9a55452c9bf0c74299a00dae5d3e","Conference paper","Final","","Scopus","2-s2.0-77954931454"
"Ghomari A.; Djeraba C.","Ghomari, Abdelghani (23011922100); Djeraba, Chabane (55892468800)","23011922100; 55892468800","An approach for synchronization and management of multimedia scenarios in an object-oriented database","2010","2010 4th International Conference on Research Challenges in Information Science - Proceedings, RCIS 2010","","","5507377","175","182","7","1","10.1109/rcis.2010.5507377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957302965&doi=10.1109%2frcis.2010.5507377&partnerID=40&md5=ad6578709cc7d0fdd4cc99367e08837a","Conference paper","Final","","Scopus","2-s2.0-77957302965"
"Huang Y.; Tan K.; Tang Q.; Liu F.; Liu D.","Huang, Yuanying (56110557400); Tan, Keyan (55681920500); Tang, Qifeng (55818112300); Liu, Fei (56999353500); Liu, Dandan (58604184300)","56110557400; 55681920500; 55818112300; 56999353500; 58604184300","Removal of As(III) and As(V) from drinking water by nanoscale zero-valent iron","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493239","111","114","3","7","10.1109/CESCE.2010.232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954929028&doi=10.1109%2fCESCE.2010.232&partnerID=40&md5=bb86841ab27586d23a6c1c9df032826d","Conference paper","Final","","Scopus","2-s2.0-77954929028"
"Dong J.","Dong, Jianfeng (55478043300)","55478043300","The building of network security situation evaluation and prediction model based on grey theory","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493312","401","404","3","6","10.1109/CESCE.2010.271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954924892&doi=10.1109%2fCESCE.2010.271&partnerID=40&md5=006b4d2e24fed84a3dd797e58dc3873c","Conference paper","Final","","Scopus","2-s2.0-77954924892"
"Gong B.; Tian J.; Chen B.","Gong, Bingjiang (25924954600); Tian, Jianmei (36186079100); Chen, Bin (55723040400)","25924954600; 36186079100; 55723040400","Research and application of data mining technology in scientific research statistics and decision system","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493258","192","195","3","2","10.1109/CESCE.2010.165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954908341&doi=10.1109%2fCESCE.2010.165&partnerID=40&md5=4f6111ea78cfceca6018150eb84a767a","Conference paper","Final","","Scopus","2-s2.0-77954908341"
"Wang B.; Zhang X.; Zhu B.; Sun C.","Wang, Boli (56142985900); Zhang, Xiaolei (56023464000); Zhu, Bing (36083812400); Sun, Changlong (36186213800)","56142985900; 56023464000; 36083812400; 36186213800","Study on the communication from the households in the countries of west China Based on the rural telecom communication charge","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","2","","5493275","257","262","5","0","10.1109/CESCE.2010.265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954893873&doi=10.1109%2fCESCE.2010.265&partnerID=40&md5=ea6d596783d367ffb316b4729834040c","Conference paper","Final","","Scopus","2-s2.0-77954893873"
"He Q.; Shan W.","He, Qun (36185356700); Shan, Wei (56232934000)","36185356700; 56232934000","A measurement method about the key parameters of nonlinear system based on generalized predictive control","2010","International Conference on Challenges in Environmental Science and Computer Engineering, CESCE 2010","1","","5493177","467","470","3","0","10.1109/CESCE.2010.188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954940461&doi=10.1109%2fCESCE.2010.188&partnerID=40&md5=09ddfab12ed7848077fa67da425644a8","Conference paper","Final","","Scopus","2-s2.0-77954940461"
