"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Scheuner J.; Leitner P.","Scheuner, Joel (56737196000); Leitner, Philipp (18037605900)","56737196000; 18037605900","A cloud benchmark suite combining micro and applications benchmarks","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","161","166","5","10","10.1145/3185768.3186286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052023131&doi=10.1145%2f3185768.3186286&partnerID=40&md5=324a3cecbbb06c7d89947e81c47a16a3","Conference paper","Final","","Scopus","2-s2.0-85052023131"
"Guerriero M.; Tamburri D.A.; Ridene Y.; Marconi F.; Bersani M.M.; Xlab M.A.","Guerriero, Michele (57162975400); Tamburri, Damian A. (35488974800); Ridene, Youssef (37020403800); Marconi, Francesco (57190818220); Bersani, Marcello M. (35730853100); Xlab, Matej Artac (57060212700)","57162975400; 35488974800; 37020403800; 57190818220; 35730853100; 57060212700","Towards DevOps for privacy-by-design in data-intensive applications: A research roadmap","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","139","144","5","4","10.1145/3053600.3053631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019466753&doi=10.1145%2f3053600.3053631&partnerID=40&md5=eff84d07320f513c2aa27bf5944230d6","Conference paper","Final","","Scopus","2-s2.0-85019466753"
"Chow K.; Zhu W.; Li C.; Chen S.; Zhang T.; Qin C.; Li S.","Chow, Kingsum (7202178192); Zhu, Wanyi (57194176085); Li, Chengdong (57194242095); Chen, Si (57194240763); Zhang, Tongbao (57194240820); Qin, Chenggang (57194242326); Li, Sanhong (57194235382)","7202178192; 57194176085; 57194242095; 57194240763; 57194240820; 57194242326; 57194235382","Developing software performance training at Alibaba","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","181","182","1","0","10.1145/3053600.3053640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019476548&doi=10.1145%2f3053600.3053640&partnerID=40&md5=b347ad0e72e4cef2c276094c3c06faad","Conference paper","Final","","Scopus","2-s2.0-85019476548"
"","","","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","","","241","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019405611&partnerID=40&md5=df19cea8e46695df21c762ca677dccbe","Conference review","Final","","Scopus","2-s2.0-85019405611"
"Kalmar E.E.; Kertesz A.","Kalmar, Edua Eszter (57194234028); Kertesz, Attila (23392379200)","57194234028; 23392379200","What does I(o)T cost?","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","19","24","5","4","10.1145/3053600.3053601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019454942&doi=10.1145%2f3053600.3053601&partnerID=40&md5=be3ba6d67f21fe6b1c769c7b768d9b15","Conference paper","Final","","Scopus","2-s2.0-85019454942"
"Hähnel M.; Smejkal T.","Hähnel, Marcus (55756702400); Smejkal, Till (57195733050)","55756702400; 57195733050","Modular Energy Modeling using Energy/Utility","2018","ICPE 2018 - Companion of the 2018 ACM/SPEC International Conference on Performance Engineering","2018-January","","","73","78","5","1","10.1145/3185768.3186311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052015193&doi=10.1145%2f3185768.3186311&partnerID=40&md5=27cf60d65e3940d363cb0327a6d408a3","Conference paper","Final","","Scopus","2-s2.0-85052015193"
"Huang S.; De Gonzalo S.G.; El-Hadedy M.; Chang L.-W.; Gómez-Luna J.; Milojicic D.; El Hajj I.; Chalamalasetti S.R.; Mutlu O.; Chen D.; Hwu W.-M.","Huang, Sitao (55613096400); De Gonzalo, Simon Garcia (56027998400); El-Hadedy, Mohamed (26324897600); Chang, Li-Wen (56305257700); Gómez-Luna, Juan (57204509523); Milojicic, Dejan (6603838893); El Hajj, Izzat (55744213000); Chalamalasetti, Sai Rahul (26324764600); Mutlu, Onur (16043006700); Chen, Deming (7405452600); Hwu, Wen-Mei (35584943100)","55613096400; 56027998400; 26324897600; 56305257700; 57204509523; 6603838893; 55744213000; 26324764600; 16043006700; 7405452600; 35584943100","Analysis and modeling of collaborative execution strategies for heterogeneous CPU-FPGA architectures","2019","ICPE 2019 - Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering","","","","79","90","11","27","10.1145/3297663.3310305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064804067&doi=10.1145%2f3297663.3310305&partnerID=40&md5=200b3086593d39983b6eeed2ae7a1c64","Conference paper","Final","","Scopus","2-s2.0-85064804067"
"Lochmann A.; Bruckner F.; Spinczyk O.","Lochmann, Alexander (57225235780); Bruckner, Fabian (57213906759); Spinczyk, Olaf (55978668800)","57225235780; 57213906759; 55978668800","Reproducible load tests for android systems with trace-based benchmarks","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","73","76","3","3","10.1145/3053600.3053615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019467575&doi=10.1145%2f3053600.3053615&partnerID=40&md5=afd92896da07612e2eb76441107cddc7","Conference paper","Final","","Scopus","2-s2.0-85019467575"
"Walter J.; Okanović D.; Kounev S.","Walter, Jürgen (56939872200); Okanović, Dušan (45561466200); Kounev, Samuel (23397538000)","56939872200; 45561466200; 23397538000","Mapping of service level objectives to performance queries","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","197","202","5","5","10.1145/3053600.3053646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019439863&doi=10.1145%2f3053600.3053646&partnerID=40&md5=95e41e7907c6b685ea2656f9f57360a8","Conference paper","Final","","Scopus","2-s2.0-85019439863"
"Ferme V.; Pautasso C.","Ferme, Vincenzo (55319324200); Pautasso, Cesare (7801368483)","55319324200; 7801368483","Towards holistic continuous software performance assessment","2017","ICPE 2017 - Companion of the 2017 ACM/SPEC International Conference on Performance Engineering","","","","159","164","5","17","10.1145/3053600.3053636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019466522&doi=10.1145%2f3053600.3053636&partnerID=40&md5=0f72d0f71cbbfeedf56fc67c3838c8cb","Conference paper","Final","","Scopus","2-s2.0-85019466522"
