"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Cohen M.; Memon A.","Cohen, Myra (8719004300); Memon, Atif (35599876500)","8719004300; 35599876500","Message from the ICST 2019 program chairs","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730170","XIV","XV","","0","10.1109/ICST.2019.00006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067914950&doi=10.1109%2fICST.2019.00006&partnerID=40&md5=c8ce08c1a439ae5185fa5197deae7e61","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85067914950"
"Smith R.; Jarman D.; Kacker R.; Kuhn R.; Simos D.; Kampel L.; Leithner M.; Gosney G.","Smith, Riley (57209663588); Jarman, Darryl (57195232790); Kacker, Raghu (6603751138); Kuhn, Richard (11138990700); Simos, Dimitris (15835741900); Kampel, Ludwig (57191694231); Leithner, Manuel (37761741300); Gosney, Gabe (57209658303)","57209663588; 57195232790; 6603751138; 11138990700; 15835741900; 57191694231; 37761741300; 57209658303","Applying combinatorial testing to large-scale data processing at adobe","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728962","190","193","3","17","10.1109/ICSTW.2019.00051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068398055&doi=10.1109%2fICSTW.2019.00051&partnerID=40&md5=397744b8eb6251fca2fe3fb6dbb6a1e5","Conference paper","Final","","Scopus","2-s2.0-85068398055"
"Wei X.","Wei, Xiaomin (57220906531)","57220906531","AADL-based safety analysis approaches for safety-critical systems","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730147","481","482","1","4","10.1109/ICST.2019.00058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067954059&doi=10.1109%2fICST.2019.00058&partnerID=40&md5=bd8637ebef9f4d0f0b950fe3ecc3d3cc","Conference paper","Final","","Scopus","2-s2.0-85067954059"
"Kim J.; Chon S.; Park J.","Kim, Jiseob (57209655330); Chon, Sunil (55334614000); Park, Jihwan (57194041897)","57209655330; 55334614000; 57194041897","Suggestion of testing method for industrial level cyber-physical system in complex environment","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728948","148","152","4","9","10.1109/ICSTW.2019.00043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068355723&doi=10.1109%2fICSTW.2019.00043&partnerID=40&md5=056c8d72f99b81159cda07cf1f923d53","Conference paper","Final","","Scopus","2-s2.0-85068355723"
"Bader V.; Campos J.; Fraser G.","Bader, Verena (59627924800); Campos, Jose (35306564600); Fraser, Gordon (9247521200)","59627924800; 35306564600; 9247521200","Parallel many-objective search for unit tests","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730200","37","47","10","3","10.1109/ICST.2019.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067954333&doi=10.1109%2fICST.2019.00014&partnerID=40&md5=8f95b7f0fe986cb9a11392c9af0405f6","Conference paper","Final","","Scopus","2-s2.0-85067954333"
"Ayad A.; Marsit I.; Loh J.; Omri M.N.; Mili A.","Ayad, Amani (57209655121); Marsit, Imen (54894362400); Loh, Jimeng (7005450501); Omri, Mohamed Nazih (6604032258); Mili, Ali (7006587062)","57209655121; 54894362400; 7005450501; 6604032258; 7006587062","Estimating the number of equivalent mutants","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728901","112","121","9","5","10.1109/ICSTW.2019.00039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068370420&doi=10.1109%2fICSTW.2019.00039&partnerID=40&md5=96562f1f9b357418dd4a4e4939a3e590","Conference paper","Final","","Scopus","2-s2.0-85068370420"
"Lanus E.; Colbourn C.J.; Montgomery D.C.","Lanus, Erin (57194342964); Colbourn, Charles J. (7005073666); Montgomery, Douglas C. (7402897732)","57194342964; 7005073666; 7402897732","Partitioned search with column resampling for locating array construction","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728931","214","223","9","7","10.1109/ICSTW.2019.00056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068234992&doi=10.1109%2fICSTW.2019.00056&partnerID=40&md5=3812fca5dacf344721f63ae35bbd6e30","Conference paper","Final","","Scopus","2-s2.0-85068234992"
"Nguyen H.N.; Tavakoli S.; Shaikh S.A.; Maynard O.","Nguyen, Hoang Nga (26534628000); Tavakoli, Siamak (24774139100); Shaikh, Siraj Ahmed (12766013100); Maynard, Oliver (57209656672)","26534628000; 24774139100; 12766013100; 57209656672","Developing a QRNG ECU for automotive security: Experience of testing in the real-world","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728946","61","68","7","8","10.1109/ICSTW.2019.00033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068364495&doi=10.1109%2fICSTW.2019.00033&partnerID=40&md5=61e2fe2653cf4b09ab155c997bcfa8df","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85068364495"
"Bremond N.; Groz R.","Bremond, Nicolas (57203305016); Groz, Roland (6507396322)","57203305016; 6507396322","Case studies in learning models and testing without reset","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728898","40","45","5","6","10.1109/ICSTW.2019.00030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068365460&doi=10.1109%2fICSTW.2019.00030&partnerID=40&md5=3f7d7aa5dc457fbb329fff24905895c3","Conference paper","Final","","Scopus","2-s2.0-85068365460"
"Ozcan M.","Ozcan, Murat (57194033942)","57194033942","An industrial study on applications of combinatorial testing in modern web development","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728910","210","213","3","0","10.1109/ICSTW.2019.00055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068368058&doi=10.1109%2fICSTW.2019.00055&partnerID=40&md5=0bbcc5f897d1f2eb3c555a120be8c573","Conference paper","Final","","Scopus","2-s2.0-85068368058"
"Zhang J.M.; Zhang L.; Hao D.; Wang M.; Zhang L.","Zhang, Jie M. (57209508429); Zhang, Lingming (57203347002); Hao, Dan (23388889700); Wang, Meng (59871267300); Zhang, Lu (56275778800)","57209508429; 57203347002; 23388889700; 59871267300; 56275778800","Do pseudo test suites lead to inflated correlation in measuring test effectiveness?","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730176","252","263","11","7","10.1109/ICST.2019.00033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067958049&doi=10.1109%2fICST.2019.00033&partnerID=40&md5=b506e6f59c524a40a7ceef3518fef97c","Conference paper","Final","","Scopus","2-s2.0-85067958049"
"Kacker R.; Kuhn R.; Segall I.; Czerwonka J.; Gargantini A.; Sherwood G.; Tzoref-Brill R.; Simos D.; Lei Y.","Kacker, Raghu (6603751138); Kuhn, Richard (11138990700); Segall, Itai (23089409800); Czerwonka, Jacek (35742607100); Gargantini, Angelo (55897877400); Sherwood, George (57209658442); Tzoref-Brill, Rachel (35185578400); Simos, Dimitris (15835741900); Lei, Yu (56379132300)","6603751138; 11138990700; 23089409800; 35742607100; 55897877400; 57209658442; 35185578400; 15835741900; 56379132300","Message from the IWCT 2019 Chairs","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728896","XXVII","","","0","10.1109/ICSTW.2019.00019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068401407&doi=10.1109%2fICSTW.2019.00019&partnerID=40&md5=81b975a4789fad46a9779c54ea952ce5","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85068401407"
"Monni C.; Pezze M.; Prisco G.","Monni, Cristina (33568075100); Pezze, Mauro (35581208100); Prisco, Gaetano (57195933411)","33568075100; 35581208100; 57195933411","An RBM anomaly detector for the cloud","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730157","148","159","11","9","10.1109/ICST.2019.00024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067981414&doi=10.1109%2fICST.2019.00024&partnerID=40&md5=65d46795282df69ec2592ee993be58fc","Conference paper","Final","","Scopus","2-s2.0-85067981414"
"Abbas M.; Inayat I.; Saadatmand M.; Jan N.","Abbas, Muhammad (58588220400); Inayat, Irum (55248320500); Saadatmand, Mehrdad (46461803900); Jan, Naila (57209658910)","58588220400; 55248320500; 46461803900; 57209658910","Requirements dependencies-based test case prioritization for extra-functional properties","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728904","159","163","4","13","10.1109/ICSTW.2019.00045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068376871&doi=10.1109%2fICSTW.2019.00045&partnerID=40&md5=a4904c1843809fea7045b53aa5025672","Conference paper","Final","","Scopus","2-s2.0-85068376871"
"Bonn J.; Foegen K.; Lichter H.","Bonn, Joshua (57209655959); Foegen, Konrad (57188927817); Lichter, Horst (6701362446)","57209655959; 57188927817; 6701362446","A framework for automated combinatorial test generation, execution, and fault characterization","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728924","224","233","9","14","10.1109/ICSTW.2019.00057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068379467&doi=10.1109%2fICSTW.2019.00057&partnerID=40&md5=547b8f9a816b23a6902da5c686b52729","Conference paper","Final","","Scopus","2-s2.0-85068379467"
"Aichernig B.K.; Maderbacher B.; Tiran S.","Aichernig, Bernhard K. (8696540300); Maderbacher, Benedikt (57204180160); Tiran, Stefan (55371580500)","8696540300; 57204180160; 55371580500","Programming behavioral test models for SMT solving in scala","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728933","52","60","8","1","10.1109/ICSTW.2019.00032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068361945&doi=10.1109%2fICSTW.2019.00032&partnerID=40&md5=fe77d7bc2818e097d36e6b5b03208583","Conference paper","Final","","Scopus","2-s2.0-85068361945"
"Hierons R.; Núñez M.; Pretschner A.; Gargantini A.; Faria J.P.; Wang S.","Hierons, Rob (7003905519); Núñez, Manuel (7202233380); Pretschner, Alexander (12645083400); Gargantini, Angelo (55897877400); Faria, João Pascoal (35219959000); Wang, Shuai (57209657072)","7003905519; 7202233380; 12645083400; 55897877400; 35219959000; 57209657072","Message from the a- Most 2019 chairs","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728957","XIII","","","0","10.1109/ICSTW.2019.00006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068360615&doi=10.1109%2fICSTW.2019.00006&partnerID=40&md5=71bc387d59b1e52909d0239090e8c47b","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85068360615"
"Terragni V.; Pezze M.; Bianchi F.A.","Terragni, Valerio (57022047600); Pezze, Mauro (35581208100); Bianchi, Francesco Adalberto (57189889066)","57022047600; 35581208100; 57189889066","Coverage-driven test generation for thread-safe classes via parallel and conflict dependencies","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730178","264","275","11","4","10.1109/ICST.2019.00034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067920593&doi=10.1109%2fICST.2019.00034&partnerID=40&md5=2f36f946a40215e6c277f6c2b084efc6","Conference paper","Final","","Scopus","2-s2.0-85067920593"
"Wang W.; Wang K.; Zhang M.; Khurshid S.","Wang, Wenxi (57190262754); Wang, Kaiyuan (57193337833); Zhang, Mengshi (57195260410); Khurshid, Sarfraz (56231912700)","57190262754; 57193337833; 57195260410; 56231912700","Learning to optimize the alloy analyzer","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730165","228","239","11","8","10.1109/ICST.2019.00031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064895074&doi=10.1109%2fICST.2019.00031&partnerID=40&md5=87b3d562b5e35f36f72da9b3fa3ca4eb","Conference paper","Final","","Scopus","2-s2.0-85064895074"
"Lima B.","Lima, Bruno (56039002700)","56039002700","Automated scenario-based integration testing of time-constrained distributed systems","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation, ICST 2019","","","8730179","486","488","2","6","10.1109/ICST.2019.00060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067981378&doi=10.1109%2fICST.2019.00060&partnerID=40&md5=d52c06675f5feb4c4b8303a9754dd902","Conference paper","Final","","Scopus","2-s2.0-85067981378"
"Lindström B.; Saadatmand M.; Mousavi M.R.; Enoiu E.","Lindström, Birgitta (24470270700); Saadatmand, Mehrdad (46461803900); Mousavi, Mohammad Reza (7005703024); Enoiu, Eduard (36462407100)","24470270700; 46461803900; 7005703024; 36462407100","Message from the ITEQS 2019 chairs","2019","Proceedings - 2019 IEEE 12th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2019","","","8728966","XX","","","0","10.1109/ICSTW.2019.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068424130&doi=10.1109%2fICSTW.2019.00013&partnerID=40&md5=92698a2c3d021280eb66bfcc29dbc093","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85068424130"
