"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","6th International Conference on Formal Structures for Computation and Deduction, FSCD 2021","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","","","","612","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115211688&partnerID=40&md5=4d6a6f70c2d50418619a843daa6ac917","Conference review","Final","","Scopus","2-s2.0-85115211688"
"Ahrens B.; Frumin D.; Maggesi M.; van der Weide N.","Ahrens, Benedikt (55258688100); Frumin, Dan (57201317537); Maggesi, Marco (6505841558); van der Weide, Niels (57193554078)","55258688100; 57201317537; 6505841558; 57193554078","Bicategories in univalent foundations","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","5","","","","7","10.4230/LIPIcs.FSCD.2019.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068065003&doi=10.4230%2fLIPIcs.FSCD.2019.5&partnerID=40&md5=18ea7597010c22597846df73c26ebce9","Conference paper","Final","","Scopus","2-s2.0-85068065003"
"Stolze C.; Liquori L.","Stolze, Claude (57191681330); Liquori, Luigi (6602689699)","57191681330; 6602689699","A type checker for a logical framework with union and intersection types","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","37","","","","0","10.4230/LIPIcs.FSCD.2020.37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089388439&doi=10.4230%2fLIPIcs.FSCD.2020.37&partnerID=40&md5=8b8801b308b37e2530743ba82d880b42","Conference paper","Final","","Scopus","2-s2.0-85089388439"
"Das A.; Rice A.A.","Das, Anupam (56591154300); Rice, Alex A. (57274745500)","56591154300; 57274745500","New minimal linear inferences in boolean logic independent of switch and medial","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","14","","","","4","10.4230/LIPIcs.FSCD.2021.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115278078&doi=10.4230%2fLIPIcs.FSCD.2021.14&partnerID=40&md5=a8118f59911e454817ecc2d023761743","Conference paper","Final","","Scopus","2-s2.0-85115278078"
"Espírito Santo J.; Pinto L.; Uustalu T.","Espírito Santo, José (24337876200); Pinto, Luís (22433344400); Uustalu, Tarmo (6602585906)","24337876200; 22433344400; 6602585906","Modal embeddings and calling paradigms","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","18","","","","10","10.4230/LIPIcs.FSCD.2019.18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068045398&doi=10.4230%2fLIPIcs.FSCD.2019.18&partnerID=40&md5=9c99b118ce09d6cdc9e2826c4d5673db","Conference paper","Final","","Scopus","2-s2.0-85068045398"
"Liquori L.; Stolze C.","Liquori, Luigi (6602689699); Stolze, Claude (57191681330)","6602689699; 57191681330","The ∆-calculus: Syntax and types","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","28","","","","2","10.4230/LIPIcs.FSCD.2019.28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068049118&doi=10.4230%2fLIPIcs.FSCD.2019.28&partnerID=40&md5=d972ac7a21fe4d7ec08390cf90e86f59","Conference paper","Final","","Scopus","2-s2.0-85068049118"
"Kobayashi N.","Kobayashi, Naoki (55587039100)","55587039100","Preface","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","0","ix","x","","0","10.4230/LIPIcs.FSCD.2021.0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115223968&doi=10.4230%2fLIPIcs.FSCD.2021.0&partnerID=40&md5=c277c1fd6f9a7b545ddf4995096b3f3e","Editorial","Final","","Scopus","2-s2.0-85115223968"
"Simonsen J.G.","Simonsen, Jakob Grue (8976163500)","8976163500","The expressive power of one variable used once: The chomsky hierarchy and first-order monadic constructor rewriting","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","5","","","","0","10.4230/LIPIcs.FSCD.2021.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115264748&doi=10.4230%2fLIPIcs.FSCD.2021.5&partnerID=40&md5=e194734280f3577446262af4f60753dd","Conference paper","Final","","Scopus","2-s2.0-85115264748"
"Ahrens B.; Hirschowitz A.; Lafont A.; Maggesi M.","Ahrens, Benedikt (55258688100); Hirschowitz, André (6602370389); Lafont, Ambroise (57203813555); Maggesi, Marco (6505841558)","55258688100; 6602370389; 57203813555; 6505841558","Modular specification of monads through higher-order presentations","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","6","","","","9","10.4230/LIPIcs.FSCD.2019.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068072050&doi=10.4230%2fLIPIcs.FSCD.2019.6&partnerID=40&md5=8bb7ed0df1a9c9721ecf5a9b12728067","Conference paper","Final","","Scopus","2-s2.0-85068072050"
"Saotome K.; Nakazawa K.; Kimura D.","Saotome, Kenji (57219119185); Nakazawa, Koji (36868251700); Kimura, Daisuke (35113508600)","57219119185; 36868251700; 35113508600","Failure of cut-elimination in the cyclic proof system of bunched logic with inductive propositions","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","11","","","","1","10.4230/LIPIcs.FSCD.2021.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115263253&doi=10.4230%2fLIPIcs.FSCD.2021.11&partnerID=40&md5=0c481dbc8b22d6e622fa9924364ec7a9","Conference paper","Final","","Scopus","2-s2.0-85115263253"
"Dundua B.; Kutsia T.; Marin M.; Pau C.","Dundua, Besik (36607676200); Kutsia, Temur (57189038301); Marin, Mircea (56249811500); Pau, Cleopatra (57216646701)","36607676200; 57189038301; 56249811500; 57216646701","Constraint solving over multiple similarity relations","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","30","","","","4","10.4230/LIPIcs.FSCD.2020.30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089379679&doi=10.4230%2fLIPIcs.FSCD.2020.30&partnerID=40&md5=fd0cfd789daff60f758ffd29350e7f90","Conference paper","Final","","Scopus","2-s2.0-85089379679"
"Winkler S.","Winkler, Sarah (25121546700)","25121546700","Extending maximal completion","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","3","","","","3","10.4230/LIPIcs.FSCD.2019.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068066866&doi=10.4230%2fLIPIcs.FSCD.2019.3&partnerID=40&md5=0d8e5b506d0b96960ebfe91939f0aa99","Conference paper","Final","","Scopus","2-s2.0-85068066866"
"Veltri N.","Veltri, Niccolò (57023798900)","57023798900","Type-theoretic constructions of the final coalgebra of the finite powerset functor","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","22","","","","4","10.4230/LIPIcs.FSCD.2021.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115213929&doi=10.4230%2fLIPIcs.FSCD.2021.22&partnerID=40&md5=a40efc2d0123b94f36fe072a0717b637","Conference paper","Final","","Scopus","2-s2.0-85115213929"
"Lin Y.-Y.; Tzevelekos N.","Lin, Yu-Yang (57212457493); Tzevelekos, Nikos (14055121200)","57212457493; 14055121200","Symbolic execution game semantics","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","27","","","","1","10.4230/LIPIcs.FSCD.2020.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089402617&doi=10.4230%2fLIPIcs.FSCD.2020.27&partnerID=40&md5=677cad0e8724a4a9e9e90ef96ab5b562","Conference paper","Final","","Scopus","2-s2.0-85089402617"
"Blanqui F.","Blanqui, Frédéric (23388411700)","23388411700","Type safety of rewrite rules in dependent types","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","13","","","","10","10.4230/LIPIcs.FSCD.2020.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089365600&doi=10.4230%2fLIPIcs.FSCD.2020.13&partnerID=40&md5=43923704723a21f1903598cfbaa7366a","Conference paper","Final","","Scopus","2-s2.0-85089365600"
"Hirschowitz A.; Hirschowitz T.; Lafont A.","Hirschowitz, André (6602370389); Hirschowitz, Tom (14022705300); Lafont, Ambroise (57203813555)","6602370389; 14022705300; 57203813555","Modules over monads and operational semantics","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","12","","","","7","10.4230/LIPIcs.FSCD.2020.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089365324&doi=10.4230%2fLIPIcs.FSCD.2020.12&partnerID=40&md5=8cf28a6acace661b931f168519e26caa","Conference paper","Final","","Scopus","2-s2.0-85089365324"
"Hülsbusch M.; König B.; Küpper S.; Stoltenow L.","Hülsbusch, Mathias (36655819400); König, Barbara (8850002700); Küpper, Sebastian (56342440200); Stoltenow, Lars (57218189017)","36655819400; 8850002700; 56342440200; 57218189017","Conditional bisimilarity for reactive systems","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","10","","","","1","10.4230/LIPIcs.FSCD.2020.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089364079&doi=10.4230%2fLIPIcs.FSCD.2020.10&partnerID=40&md5=14cdb2d7ef13746f9f12cfdc4b9786e6","Conference paper","Final","","Scopus","2-s2.0-85089364079"
"Thiemann R.; Schöpf J.; Sternagel C.; Yamada A.","Thiemann, René (6603806280); Schöpf, Jonas (57202948702); Sternagel, Christian (24504590200); Yamada, Akihisa (55247972300)","6603806280; 57202948702; 24504590200; 55247972300","Certifying the weighted path order","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","4","","","","5","10.4230/LIPIcs.FSCD.2020.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089402972&doi=10.4230%2fLIPIcs.FSCD.2020.4&partnerID=40&md5=820430a8643f6e476041cedfc1a114a8","Conference paper","Final","","Scopus","2-s2.0-85089402972"
"Biernacka M.; Charatonik W.","Biernacka, Małgorzata (13205690400); Charatonik, Witold (7003773980)","13205690400; 7003773980","Deriving an abstract machine for strong call by need","2019","Leibniz International Proceedings in Informatics, LIPIcs","131","","8","","","","10","10.4230/LIPIcs.FSCD.2019.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068075295&doi=10.4230%2fLIPIcs.FSCD.2019.8&partnerID=40&md5=7d6052a1ea62390b847d53aa98f1983b","Conference paper","Final","","Scopus","2-s2.0-85068075295"
"Biernacki D.; Lenglet S.; Polesiuk P.","Biernacki, Dariusz (8555890200); Lenglet, Sergueï (15021147000); Polesiuk, Piotr (57128466000)","8555890200; 15021147000; 57128466000","A complete normal-form bisimilarity for algebraic effects and handlers","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","7","","","","5","10.4230/LIPIcs.FSCD.2020.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089368279&doi=10.4230%2fLIPIcs.FSCD.2020.7&partnerID=40&md5=58dfd77559a8cbc5364db7a5b610f9ce","Conference paper","Final","","Scopus","2-s2.0-85089368279"
"Ricciotti W.; Cheney J.","Ricciotti, Wilmer (26322835100); Cheney, James (7005251362)","26322835100; 7005251362","Strongly normalizing higher-order relational queries","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","28","","","","6","10.4230/LIPIcs.FSCD.2020.28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089367466&doi=10.4230%2fLIPIcs.FSCD.2020.28&partnerID=40&md5=fc767749f0f1c25a60122edc3eb58e8f","Conference paper","Final","","Scopus","2-s2.0-85089367466"
"Kapur D.","Kapur, Deepak (7005306427)","7005306427","A modular associative commutative (ac) congruence closure algorithm","2021","Leibniz International Proceedings in Informatics, LIPIcs","195","","15","","","","5","10.4230/LIPIcs.FSCD.2021.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115265200&doi=10.4230%2fLIPIcs.FSCD.2021.15&partnerID=40&md5=cf0a96634b6953dc729a589e18bca13e","Conference paper","Final","","Scopus","2-s2.0-85115265200"
"","","","5th International Conference on Formal Structures for Computation and Deduction, FSCD 2020","2020","Leibniz International Proceedings in Informatics, LIPIcs","167","","","","","695","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089404361&partnerID=40&md5=9509d3ec90a970d8b2f4fa1d347b4600","Conference review","Final","","Scopus","2-s2.0-85089404361"
