"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kurucz A.; Wolter F.; Zakharyaschev M.","Kurucz, Agi (8732161000); Wolter, Frank (7005739306); Zakharyaschev, Michael (6602982360)","8732161000; 7005739306; 6602982360","Islands of tractability for relational constraints: Towards dichotomy results for the description logic ℰℒ","2010","Advances in Modal Logic 2006","8","","","271","291","20","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858687475&partnerID=40&md5=9e85f49d4cf976192dbcf19483d83f7e","Conference paper","Final","","Scopus","2-s2.0-84858687475"
"Tinchev T.; Vakarelov D.","Tinchev, Tinko (6507090495); Vakarelov, Dimiter (6603656027)","6507090495; 6603656027","Logics of space with connectedness predicates: Complete axiomatizations","2010","Advances in Modal Logic 2006","8","","","434","453","19","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858659460&partnerID=40&md5=f95ee2057c25eab6a0109be021e58a86","Conference paper","Final","","Scopus","2-s2.0-84858659460"
"Kudinov A.","Kudinov, Andrey (55117642700)","55117642700","Modal logic of some products of neighborhood frames","2014","Advances in Modal Logic","9","","","386","394","8","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906763634&partnerID=40&md5=3315485639264aea4938d48c68622c10","Conference paper","Final","","Scopus","2-s2.0-84906763634"
"Tulenheimo T.","Tulenheimo, Tero (14042896500)","14042896500","Modal logic of time division","2008","Advances in Modal Logic 2006","7","","","363","387","24","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78951488483&partnerID=40&md5=1d77fe598a069cde5709d1b8541d816d","Conference paper","Final","","Scopus","2-s2.0-78951488483"
"Su C.-P.","Su, Che-Ping (56547862000)","56547862000","Paraconsistent justi-cation logic: A starting point","2014","Advances in Modal Logic","10","","","513","532","19","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924650060&partnerID=40&md5=898a9a59b722429815215bb6d64997b3","Conference paper","Final","","Scopus","2-s2.0-84924650060"
"Goré R.; Postniece L.; Tiu A.","Goré, Rajeev (7102540943); Postniece, Linda (25121653100); Tiu, Alwen (8961912700)","7102540943; 25121653100; 8961912700","Cut-elimination and proof search for bi-intuitionistic tense logic","2010","Advances in Modal Logic 2006","8","","","156","177","21","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858660452&partnerID=40&md5=bf04700ccf228c61b58fe1311fde7975","Conference paper","Final","","Scopus","2-s2.0-84858660452"
"Uckelman S.L.; Johnston S.","Uckelman, Sara L. (18435222600); Johnston, Spencer (59095635700)","18435222600; 59095635700","A simple semantics for Aristotelian apodeictic syllogistics","2010","Advances in Modal Logic 2006","8","","","454","469","15","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858693226&partnerID=40&md5=59621c55e9810d08f803c9473a541963","Conference paper","Final","","Scopus","2-s2.0-84858693226"
"Gheerbrant A.","Gheerbrant, Amélie (27367875800)","27367875800","Complete axiomatization of the stutter-invariant fragment of the linear time μ-calculus","2010","Advances in Modal Logic 2006","8","","","140","155","15","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858676506&partnerID=40&md5=52cb0ce548da357d7398f7f748f25349","Conference paper","Final","","Scopus","2-s2.0-84858676506"
"Gorin D.; Schroder L.","Gorin, Daniel (8889515700); Schroder, Lutz (7006618668)","8889515700; 7006618668","Subsumption checking in conjunctive coalgebraic fixpoint logics","2014","Advances in Modal Logic","10","","","254","273","19","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924751007&partnerID=40&md5=3a245f4272a06a9570e093ef0561e936","Conference paper","Final","","Scopus","2-s2.0-84924751007"
"Gorín D.; Schröder L.","Gorín, Daniel (8889515700); Schröder, Lutz (7006618668)","8889515700; 7006618668","Extending ALCQ with bounded self-reference","2014","Advances in Modal Logic","9","","","300","316","16","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906728949&partnerID=40&md5=5d2a776ff0ecf67219daa9ffad3cfb05","Conference paper","Final","","Scopus","2-s2.0-84906728949"
"Fernández-Duque D.","Fernández-Duque, David (50861124500)","50861124500","Absolute completeness of S4 u for its measure-theoretic semantics","2010","Advances in Modal Logic 2006","8","","","100","119","19","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858657724&partnerID=40&md5=de9af0c82a35920765b10d9ff3352a41","Conference paper","Final","","Scopus","2-s2.0-84858657724"
"Balbiani P.; Kikot S.","Balbiani, Philippe (14625029700); Kikot, Stanislav (50262220100)","14625029700; 50262220100","Sahlqvist theorems for precontact logics","2014","Advances in Modal Logic","9","","","55","70","15","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893808663&partnerID=40&md5=e999273de527728277ea68ee3972e68c","Conference paper","Final","","Scopus","2-s2.0-84893808663"
"Litak T.","Litak, Tadeusz (8865100500)","8865100500","Isomorphism via translation","2006","Advances in Modal Logic 2006","6","","","333","351","18","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249312418&partnerID=40&md5=3a1f894a7c8fb9704a32f5843b7254cb","Conference paper","Final","","Scopus","2-s2.0-34249312418"
