"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Costache S.; Ropars T.; Morin C.","Costache, Stefania (14041249700); Ropars, Thomas (22836090900); Morin, Christine (7202218434)","14041249700; 22836090900; 7202218434","Semias: Self-healing active replication on top of a structured peer-to-peer overlay","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623396","235","244","9","0","10.1109/SRDS.2010.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650577705&doi=10.1109%2fSRDS.2010.34&partnerID=40&md5=b49b2276954126182f26a8a5c4f87f29","Conference paper","Final","","Scopus","2-s2.0-78650577705"
"Sutra P.; Shapiro M.","Sutra, Pierre (23467592200); Shapiro, Marc (55728636400)","23467592200; 55728636400","Fast genuine generalized consensus","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076784","255","264","9","20","10.1109/SRDS.2011.38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155184610&doi=10.1109%2fSRDS.2011.38&partnerID=40&md5=8bf27554a530c250676ade0213b30b61","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-83155184610"
"Novales R.; Mittal N.","Novales, Ramon (35324986200); Mittal, Neeraj (7006040784)","35324986200; 7006040784","TASK: Template-based key assignment for confidential communication in wireless networks","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283276","209","216","7","2","10.1109/SRDS.2009.30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949132460&doi=10.1109%2fSRDS.2009.30&partnerID=40&md5=e573331f701ec6c8e90268368e61832d","Conference paper","Final","","Scopus","2-s2.0-74949132460"
"Distefano S.; Longo F.; Scarpa M.","Distefano, Salvatore (17433851100); Longo, Francesco (34868328300); Scarpa, Marco (35751680500)","17433851100; 34868328300; 35751680500","Availability assessment of HA standby redundant clusters","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623401","265","274","9","33","10.1109/SRDS.2010.37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650560407&doi=10.1109%2fSRDS.2010.37&partnerID=40&md5=7da4fead20f16ba4a4e734756a939f95","Conference paper","Final","","Scopus","2-s2.0-78650560407"
"Ng B.H.; Hu X.; Prakash A.","Ng, Beng Heng (36700222500); Hu, Xin (59091681000); Prakash, Atul (7202316627)","36700222500; 59091681000; 7202316627","A study on latent vulnerabilities","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623411","333","337","4","5","10.1109/SRDS.2010.47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650555618&doi=10.1109%2fSRDS.2010.47&partnerID=40&md5=bda8f645934ed40917f3119e03cc42fb","Conference paper","Final","","Scopus","2-s2.0-78650555618"
"Merideth M.G.; Oprea F.; Reiter M.K.","Merideth, Michael G. (6506460547); Oprea, Florian (12241365300); Reiter, Michael K. (7103275779)","6506460547; 12241365300; 7103275779","When and how to change quorums on wide area networks","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283516","12","21","9","6","10.1109/SRDS.2009.35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949102494&doi=10.1109%2fSRDS.2009.35&partnerID=40&md5=1de4dc72c3cd5ea11e34048ce01169bb","Conference paper","Final","","Scopus","2-s2.0-74949102494"
"Xu B.; Linderman M.; Madria S.; Wolfson O.","Xu, Bo (56982143100); Linderman, Mark (6701518353); Madria, Sanjay (55665770900); Wolfson, Ouri (7004337886)","56982143100; 6701518353; 55665770900; 7004337886","A tactical information management middleware for resource-constrained mobile P2P networks","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623405","303","307","4","3","10.1109/SRDS.2010.41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650584332&doi=10.1109%2fSRDS.2010.41&partnerID=40&md5=2afa4a31de04054571b5dfd092fc549c","Conference paper","Final","","Scopus","2-s2.0-78650584332"
"Dixit M.; Casimiro A.","Dixit, Mônica (25654925300); Casimiro, António (6701655025)","25654925300; 6701655025","Adaptare-FD: A dependability-oriented adaptive failure detector","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623386","141","147","6","11","10.1109/SRDS.2010.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650582276&doi=10.1109%2fSRDS.2010.24&partnerID=40&md5=44fece397c35eb40f31c32081a627f2e","Conference paper","Final","","Scopus","2-s2.0-78650582276"
"Xie L.; Zhang X.; Chaugule A.; Jaeger T.; Zhu S.","Xie, Liang (35325966700); Zhang, Xinwen (7410278759); Chaugule, Ashwin (35324056100); Jaeger, Trent (57188651182); Zhu, Sencun (8886024500)","35325966700; 7410278759; 35324056100; 57188651182; 8886024500","Designing system-level defenses against cellphone malware","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283445","83","90","7","32","10.1109/SRDS.2009.21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949101283&doi=10.1109%2fSRDS.2009.21&partnerID=40&md5=e80179b10348f6edd57f0095160765fd","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-74949101283"
"Jimenez-Peris R.","Jimenez-Peris, Ricardo (6701424390)","6701424390","Message from the general chair","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076791","8","","","0","10.1109/SRDS.2011.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155160959&doi=10.1109%2fSRDS.2011.5&partnerID=40&md5=7136922124b9b1afbfb446a5c4e4d1a1","Editorial","Final","","Scopus","2-s2.0-83155160959"
"Lukas G.; Lindhorst T.; Nett E.","Lukas, Georg (15923309400); Lindhorst, Timo (36630583000); Nett, Edgar (7003977289)","15923309400; 36630583000; 7003977289","Modeling medium utilization for admission control in industrial wireless mesh networks","2011","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","6076763","65","74","9","8","10.1109/SRDS.2011.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83155161001&doi=10.1109%2fSRDS.2011.17&partnerID=40&md5=5b6fb5407c5c71484d990a4d87bb8672","Conference paper","Final","","Scopus","2-s2.0-83155161001"
"Banerjee D.; Madduri V.R.; Srivatsa M.","Banerjee, Dipyaman (57198042891); Madduri, Venkateswara R. (25930455500); Srivatsa, Mudhakar (8510987100)","57198042891; 25930455500; 8510987100","A framework for distributed monitoring and root cause analysis for large IP networks","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283232","246","255","9","14","10.1109/SRDS.2009.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949101845&doi=10.1109%2fSRDS.2009.22&partnerID=40&md5=1a2d26c64f9b760bc53716c77c6468ec","Conference paper","Final","","Scopus","2-s2.0-74949101845"
"Campo-Giralte L.; Jimenez-Peris R.; Patiño-Martinez M.","Campo-Giralte, Luis (35324007100); Jimenez-Peris, Ricardo (6701424390); Patiño-Martinez, M. (35579712000)","35324007100; 6701424390; 35579712000","PolyVaccine: Protecting Web servers against zero-day, polymorphic and metamorphic exploits","2009","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5283421","91","99","8","2","10.1109/SRDS.2009.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74949090380&doi=10.1109%2fSRDS.2009.15&partnerID=40&md5=5c7e7bdaa21f990fe154890e59ee1d17","Conference paper","Final","","Scopus","2-s2.0-74949090380"
"Almeida R.; Madeira H.; Vieira M.","Almeida, Raquel (56646917900); Madeira, Henrique (7004929011); Vieira, Marco (7202140748)","56646917900; 7004929011; 7202140748","Benchmarking the resilience of self-adaptive systems: A new research challenge","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623412","348","352","4","0","10.1109/SRDS.2010.50","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650550753&doi=10.1109%2fSRDS.2010.50&partnerID=40&md5=5f7fd9177e22395374aa974ad1501d89","Conference paper","Final","","Scopus","2-s2.0-78650550753"
"Lombardi F.; Di Pietro R.; Soriente C.","Lombardi, Flavio (13605771800); Di Pietro, Roberto (57216385914); Soriente, Claudio (16029627100)","13605771800; 57216385914; 16029627100","CReW: Cloud resilience for windows guests through monitored virtualization","2010","Proceedings of the IEEE Symposium on Reliable Distributed Systems","","","5623410","338","342","4","8","10.1109/SRDS.2010.48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650552075&doi=10.1109%2fSRDS.2010.48&partnerID=40&md5=d18996f77542c26167c90ee70f1aee8c","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-78650552075"
